game_name,content,score
8 Ball Pool,bad ever scammer use hack win authority ban id really disappointed playing long time interest earlier know hell wrong authority guys sleep cannot find legal player illegal player destroy shot cannot even imagine dream also shame authority,1
8 Ball Pool,bad hacker every,1
8 Ball Pool,free cash suppose give beacause instal give please fix clickbait dissapointed,1
8 Ball Pool,spin win scratcher break 20 scratcher win 35k 15 spin win 250 token every damn time also anytime go guest player seem computer hacker win break every single time 1 million token frustration lose match 100k opponent frozen feel broken,1
8 Ball Pool,try open open cut automatically,1
8 Ball Pool,pos never let u anything spin wheel screw outta 5000 rig spin far land high number,1
8 Ball Pool,seem easy others steal coin 10m take 100k great,1
8 Ball Pool,keep go back connecting pagecannot please fix problem,1
8 Ball Pool,3rd world player europe middle east use aimer program fair use 46 shot eachnow 2 shot less folk care ruin fun app,1
8 Ball Pool,20m win 1 seoul show 29m think bug win another seoul show 38m definitely issue app,1
8 Ball Pool,cannot imagine fun someone 100 200 level high cannot fun fix match system broken fun suddenly 230 level player beat break happen half time match player level cannot 5 year experience player 5 day experience player suck fun,2
8 Ball Pool,fun way many popups,2
8 Ball Pool,fun ad annoying,2
8 Ball Pool,win every match,2
8 Ball Pool,everything fine except free spin always land 100 250always spend real money anymore beacuse way rank 67 lose 20 row ti rank 25 understand set make ownera money come onthe risk start worth reward,2
8 Ball Pool,bug something place bet 500 coin 1000 coin push confirm put bet 100 green time line around pic show lose coin turn lose 100000 coin total irritate fair,2
8 Ball Pool,bann auto hack also ad 8ballpool,2
8 Ball Pool,love 67 year agobut day ago start see every big match hacker come give 2 star ban hacker,2
8 Ball Pool,cheto hacker back big waymost player come romania country miniclip high time please something,2
8 Ball Pool,fun anymore relax either player often use illegal mod instance berlin opponent pot ball even without use cue cushion shot black make succesfully even cue ball block ball way use illegal mod thanks give,2
8 Ball Pool,fun timesseems totally unrealistic others spin feature jokeyou never win big coin payouts scratcher,3
8 Ball Pool,love except fact opponent ball attempt go certain pocket end go different pocket different ball sink still consider opponent turn shoot real world pool would consider slop would lose turn please fix issue,3
8 Ball Pool,excellent ruin challenge notification especially annoy,3
8 Ball Pool,fun hard service data app app know anything app fun helps pass time,3
8 Ball Pool,lose many go shoot cue go back position move leave right 100521 match ready shoot 8 ball person quit winning coin,3
8 Ball Pool,addictive everyday daily challenge somewhat repetitive bore spin machine forever say rig win 34 spin land spot consecutively make sense really would give 5 star rating day however daily challenge spin machine really piss time,3
8 Ball Pool,love however sour grape player commit deliberate foul gain advantage sportsmanship true rule,3
8 Ball Pool,great gamethe problem cheater hacker need option report player cheat would easy fix could report previous player happen would give 5,3
8 Ball Pool,many time face log problem,3
8 Ball Pool,tap apears show recently online friend boring apears immediately press x cannot dipose aslo apears much make really bored invite friend online make apear invite online friend recently online one finish playing close,3
8 Ball Pool,strategy always willing beat others gather experience best need one thing next player profile please give many year,4
8 Ball Pool,best pool without doubt ad trash content increase day day,4
8 Ball Pool,something weird physic go flawless 5stars,4
8 Ball Pool,use piggy bank pay rs 350 pool coin entertainment purpose sometimes keep feature free also even pool pas pay earn reward understand way revenue take away joy let know think,4
8 Ball Pool,need table graphic,4
