game_name,content,score
8 Ball Pool,enjoy selection 8 ball video pool excite,5
8 Ball Pool,miniclip id miniclip account lose remember password account name email whenever try log say something wrong please check notify folded hand,5
8 Ball Pool,graphic pair people extremely high level really fair quite fight,3
8 Ball Pool,thumb mediumlight skin tone web suck go line constantly internet goodso app need fix soon possible ask people thing plan buy thing guess worthy probably delete account app really suck shame nothing thumb light skin tone,1
8 Ball Pool,one ad make hang unresponsive annoy hope team would fix soonest couple ad come would hang unresponsive need restart,2
8 Ball Pool,age go today various table padlock would allow go deleted,1
8 Ball Pool,log month lose friend gamehow back please,1
8 Ball Pool,fun frustrate time,5
8 Ball Pool,glitch problem could great always load screen freeze hard decent amount want money pay work well,2
8 Ball Pool,fun credit staff well maintain,4
8 Ball Pool,wish thing expensive 5 star,5
8 Ball Pool,smile face smile eye wonderful help pass beat heart time easily creation indeed whole family addict thislol,5
8 Ball Pool,please mention need wifi connection fast app support fast wifi connection,1
8 Ball Pool,great really enjoy friend around world,5
8 Ball Pool,log facebook already year worth progress reset progress moment log,1
8 Ball Pool,think start enough money way new well mode smile face sunglass lock,5
8 Ball Pool,great gamebut sometime cheat stole coinsotherwise cheatingi itbut love itit gamei say miniclipplease cheat u steal coinsi beg,4
8 Ball Pool,level 12 put level 53,1
8 Ball Pool,horrible maybe de developer rethink algorithm one break table ok start season opponent break 3 time row chance even opponent twice row break time even possible,1
8 Ball Pool,add earlier much add annoy give 3 star mostly add inappropriate see family bcz adult content kindly make earlier,3
8 Ball Pool,thumb light skin tone hand light skin tone collision dizzy fire rainbow,5
8 Ball Pool,whenever try open 8 ball pool automatically quit,1
8 Ball Pool,awsome alot fun kid friendly kid fun cool,4
8 Ball Pool,relogin take day load current ongoing event,3
8 Ball Pool,fun fun take level besides love,4
8 Ball Pool,bad market gameplay never random decide need win pro player definitly loose,1
8 Ball Pool,give 5 star review back 2016 change 1 star lot hacker ruin please miniclip team guy must something otherwise become rubbish leave,1
8 Ball Pool,worse ever suck every pointas e log yuh outwaste time guy,1
8 Ball Pool,fun work constantly crash nothing seem ever matter much info give crash log mess deduct account purchase refuse fix make fault,1
8 Ball Pool,know okay theft lucky shot prize deduct add jan 0225 give free daily reward today legacy strike cue piece lie many month give half free daily reward give nothing free daily cue piece,1
8 Ball Pool,geme interesting,5
8 Ball Pool,one classic still,5
8 Ball Pool,fun ad really gruesome,3
8 Ball Pool,4year make 1 billion coin 8 ball pool reset coin 0 loudly cry face cry face cry cat contact 8 ball pool support reply please coin lose know reason enraged face,1
8 Ball Pool,awesome graphic alot coin obtain challenge challenge friend pool zone,5
8 Ball Pool,want say automatically cut run due lot problem,1
8 Ball Pool,annoyingcannot log inblocked accountlosing reason,1
8 Ball Pool,cannot offline require coin practice offline need coin please tired face fold hand beat heart help,1
8 Ball Pool,bad pool ever put hacker lose coin buy coin cannot log bug try fix order shut,1
8 Ball Pool,definitely one best app absolutely without add salute face thumb victory hand person raise hand clap hand,5
8 Ball Pool,next level really love stress go,4
8 Ball Pool,big problem take coin level 86 bring back level 0 enraged face fix,1
8 Ball Pool,change option 3rd person shoot show 3 real pool bar something would awesome,5
8 Ball Pool,time pas go stuk que work properly,5
8 Ball Pool,popups encourage spending frequent annoy strange delay popups mean interact see click button find pop open one click away purchase whatever popup advertise click anywhere ad continue purchase matchmaking extremely poor 9ball often par adverseries 100 level higher would love add much,1
8 Ball Pool,cannot cancel someone auto put high accidentally press mainly lag ad try cancel put anyways always lose yet want able cancel tire loose coin work hard let go waste,3
8 Ball Pool,keep drop show winning position leader board dismal cannot contact support,2
8 Ball Pool,recently 500000 coin take away claim cheat see win lose well guess 500000 enough cheat even lose tournament accept leave aponant quits instead advance send back tournant lose tournament toss still cannot retrieve facebook hack,4
8 Ball Pool,leave stupid ad one favourite stupid ad stick two match cannot smoothly ad stuck back need go home page clear recent enter every time happen cannot tolerate expressionless face,1
8 Ball Pool,love best find online apps would able talk person anytime challenge happen need thing say sink eight girl rule pool thought also 9 ball weekend challenge think would awesome 9 ball weekend challenge love extra prize money chat pack sticker great time,4
Among Us,cannot type anything look text want use take long also know half dark cannot even see kill,3
Among Us,devs ruin make quick chat cannot change name also price hat accessory way high would pay 150 single hat would recommend anymore,1
Among Us,satisfied first start suddenly start crash crash know happen start research problem still method fix please fix sure phone problem way,1
Among Us,among u lose charm quick chat kill cannot defend point killer evidence clueless crew impostor need choose random crew name vote moreover cannot set account google account say cannot connect cannot hidenseek since cannot change name say chat,1
Among Us,fun especially friend maybe add feature let u add player invite instead type code also random player want friend,5
Among Us,great something player always use cheat unfair hope improve developing among u 2 add security help decrease number hacker make equal,5
Among Us,one best strategic mind give four star recommend 10 year old may learn lie early age find young brother doesnt know read,4
Among Us,absolutely refuse incredibly simple yet amaze give countless hour entertainment never old due amount option change love forever hold special place heart,5
Among Us,great random lobby sometime clusterfk would love see player rating system base sportsmanship behaviour stay end etc preset mode need adjustable understand add challenge simple present easy medium hard random fun player,3
Among Us,suck join room 5 player team look know vote start impostor vote right start observation 5 player one country indonesia name similar,3
Among Us,agree always disconnect server time imposter stuffjust disconnect server enough enough fix error annoy hell,1
Among Us,review pretty gun always issue new map still texture issue notice today alot mod hack happen feel report system well currently,5
Among Us,great concept gamewould love console maybe ps4 care screen control maybe decide ps4 let know,3
Among Us,everytime go online disconnect immediately cannot even freeplay load,1
Among Us,wow wow exit 2021 among u airship map need account whenever try log kick app garbage absolute garbage may never among u ok manage join force use quick chat even 18 cannot create user ok 2 star bcuz change phones date april 1st host skeld backwards plz remove account feature,2
Among Us,nice nice concept nice simple gameplay come point directly people impostorof course twice fun crewmate due many people tend leave developer could add mode different role different player assign role medic person could revive dead player detective advantage ability follow footprint,5
Among Us,okay chromebook could reason work doubt make chromebook friendly reason work fix problem cannot even open,1
Among Us,easyly five star could would rate billion star fun mean add really fun ultimate combo,5
Among Us,fun wid de boiz lot server issue first day ever since seem fix even annoy server issue first day wait well worth every single recommendation couple friend discord voice randos text fun fun 10 people 6 enough without skew,5
Among Us,love bunch new role favorite one shape shifter crew make lot time really love imposter love kill people vent sabotage new map plus interrupt ad hate,5
Among Us,hi try join give server full already start annoy fun,4
Among Us,quite many sus player go disconnect match bug guy please fix check internet connection problem might server bug also encounter many hacker even kill vote lmao might believe happen please ban hacker overall gud cute concept ban hacker tq,4
Among Us,love love new feature except one stupid quick chat bug reason matter year say bear cannot type freely chat go setting data also refuse let change chat setting quick chat one issue frankly ruin whole since cannot say anything fast enough people vote well 18 year age bs,4
Among Us,please fix saw tiny light middle screen cannot see anything even surround imposter hard tell whether player fix bug,3
Among Us,bad server ever experience whole life disconnect everytime say cannot 5 min intentionally disconnect send 6 ping remote respond mean hell ruin server run potato plus useless feature call quick chat,1
Among Us,use fun new nothing wrong quick chat ok guess bad thing join host screen black see little dot color chareter,1
Among Us,map alot pretty big lot intresting task really hate chat change name barely even enter online make honest prefer old one suck,2
Among Us,everyone complain chat feature guy forget hacker use hack mobile computer free chat feature forget people use abuse know new one little hard operate profit,5
Among Us,even want anymore auto chat stupid make even fun anymore try even make one round least give option turn make parental control pin something,1
Among Us,nice pls fix glitch example start show loading role time kick try another tell cannot 3 min kick come willso pls fix issue thank,3
Among Us,sooooooo unplayable purpose find impostor chat tell saw lose chat limitation cannot even change name upset hope change chat put 1 star,1
Among Us,fun gameplay rarely problem although wish would close lobby long stop player able wait full player,3
Among Us,great exciting hate player spamming emergency button reason guess impostor maybe guy fix also purchase free item currency example buy pet use gold coz know peep broke also make map add friend list okay death scene fine thnx,5
Among Us,amazing great thus lovely amaze thing bug cannot add friend sure would ruin name need unique one still add friend whenever change names still show previous name pls beg devs friending pls,4
Among Us,funi 2 year n simple alot bug somtimes say 0 impoter leave still 1 impostern join server backround turn black n plsss fix bug neutral face,4
Among Us,terrible make one bad choice lobby even host stupid thing go happen lot snowflake 5 year old please fix bug cannot move meeting call someone report dead stupid cause lot end everyone leave also add people airship map easy imposter,1
Among Us,great one thing know work another map think u player wait new map new location room new vent location hope keep app keep go fo decent bit time,5
Among Us,great wish could add people friend would much cooler otherwise actually simple simple love lot,5
Among Us,soo fun matter many bar one lag bad keep reinstalling even even make one round happen,3
Among Us,problem cannot create account even see tutorial video google still cannot create account reinstall 40 50 time still cannot let create account god god broken heart petition developer improve remove glitch bug graphic high quality one give 1 star whatever,1
Among Us,nice really love top 10 list problem everytime take least 5 min join really annoy whenever break 5 min would decide take long give four star really nice,4
Among Us,best online multiplayer ever never lags even mobile data flaw find favorite online multiplayer cant wait among u 2,5
